id,gene_id,hypothesis_id,relation_type,polarity,evidence_for_count,evidence_against_count,evidence_strength_aggregate,context_scope,status,created_at,last_updated,rationale
PGHE-00099,GEN-0162,HYP-0028,risk_factor_for,supporting,,,0.0,,proposed,2026-04-28T03:26:16+00:00,2026-04-28T03:26:16+00:00,SFARI score 2 ASD risk gene (SFARI Gene database)
PGHE-00100,GEN-0163,HYP-0028,risk_factor_for,supporting,,,0.0,,proposed,2026-04-28T03:26:16+00:00,2026-04-28T03:26:16+00:00,SFARI score 1 ASD risk gene (SFARI Gene database)
PGHE-00101,GEN-0167,HYP-0028,risk_factor_for,supporting,,,0.0,,proposed,2026-04-28T03:26:16+00:00,2026-04-28T03:26:16+00:00,SFARI score 2 ASD risk gene (SFARI Gene database)
PGHE-00102,GEN-0168,HYP-0028,risk_factor_for,supporting,,,0.0,,proposed,2026-04-28T03:26:16+00:00,2026-04-28T03:26:16+00:00,SFARI score 2 ASD risk gene (SFARI Gene database)
PGHE-00103,GEN-0169,HYP-0028,risk_factor_for,supporting,,,0.0,,proposed,2026-04-28T03:26:16+00:00,2026-04-28T03:26:16+00:00,SFARI score 2 ASD risk gene (SFARI Gene database)
PGHE-00104,GEN-0170,HYP-0028,risk_factor_for,supporting,,,0.0,,proposed,2026-04-28T03:26:16+00:00,2026-04-28T03:26:16+00:00,SFARI score 2 ASD risk gene (SFARI Gene database)
PGHE-00105,GEN-0171,HYP-0028,risk_factor_for,supporting,,,0.0,,proposed,2026-04-28T03:26:16+00:00,2026-04-28T03:26:16+00:00,SFARI score 2 ASD risk gene (SFARI Gene database)
PGHE-00106,GEN-0173,HYP-0028,risk_factor_for,supporting,,,0.0,,proposed,2026-04-28T03:26:16+00:00,2026-04-28T03:26:16+00:00,SFARI score 2 ASD risk gene (SFARI Gene database)
PGHE-00107,GEN-0174,HYP-0028,risk_factor_for,supporting,,,0.0,,proposed,2026-04-28T03:26:16+00:00,2026-04-28T03:26:16+00:00,SFARI score 2 ASD risk gene (SFARI Gene database)
PGHE-00108,GEN-0175,HYP-0028,risk_factor_for,supporting,,,0.0,,proposed,2026-04-28T03:26:16+00:00,2026-04-28T03:26:16+00:00,SFARI score 2 ASD risk gene (SFARI Gene database)
PGHE-00109,GEN-0176,HYP-0028,risk_factor_for,supporting,,,0.0,,proposed,2026-04-28T03:26:16+00:00,2026-04-28T03:26:16+00:00,SFARI score 2 ASD risk gene (SFARI Gene database)
PGHE-00110,GEN-0177,HYP-0028,risk_factor_for,supporting,,,0.0,,proposed,2026-04-28T03:26:16+00:00,2026-04-28T03:26:16+00:00,SFARI score 2 ASD risk gene (SFARI Gene database)
PGHE-00111,GEN-0178,HYP-0028,risk_factor_for,supporting,,,0.0,,proposed,2026-04-28T03:26:16+00:00,2026-04-28T03:26:16+00:00,SFARI score 2 ASD risk gene (SFARI Gene database)
PGHE-00112,GEN-0179,HYP-0028,risk_factor_for,supporting,,,0.0,,proposed,2026-04-28T03:26:16+00:00,2026-04-28T03:26:16+00:00,SFARI score 2 ASD risk gene (SFARI Gene database)
PGHE-00113,GEN-0180,HYP-0028,risk_factor_for,supporting,,,0.0,,proposed,2026-04-28T03:26:16+00:00,2026-04-28T03:26:16+00:00,SFARI score 2 ASD risk gene (SFARI Gene database)
PGHE-00114,GEN-0182,HYP-0028,risk_factor_for,supporting,,,0.0,,proposed,2026-04-28T03:26:16+00:00,2026-04-28T03:26:16+00:00,SFARI score 2 ASD risk gene (SFARI Gene database)
PGHE-00115,GEN-0183,HYP-0028,risk_factor_for,supporting,,,0.0,,proposed,2026-04-28T03:26:16+00:00,2026-04-28T03:26:16+00:00,SFARI score 2 ASD risk gene (SFARI Gene database)
PGHE-00116,GEN-0184,HYP-0028,risk_factor_for,supporting,,,0.0,,proposed,2026-04-28T03:26:16+00:00,2026-04-28T03:26:16+00:00,SFARI score 2 ASD risk gene (SFARI Gene database)
